               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.065449,            0.075321,                   0,             0.58584,             0.40655,             0.49628,             0.30278,             0.11007,            0.077487,                   0,           0.0065734,           0.0065734,           0.0065734
                 129,            0.066039,            0.073497,                   0,             0.59692,              0.3925,             0.49272,             0.30119,             0.11026,            0.078152,                   0,           0.0065276,           0.0065276,           0.0065276
                 130,            0.065203,            0.073869,                   0,              0.5813,             0.41561,             0.50114,             0.30532,             0.10787,            0.080879,                   0,           0.0064816,           0.0064816,           0.0064816
                 131,            0.064718,            0.077147,                   0,             0.57539,             0.42389,             0.50091,             0.30359,             0.10993,            0.080087,                   0,           0.0064356,           0.0064356,           0.0064356
                 132,               0.065,            0.068356,                   0,             0.59197,             0.41399,             0.50518,             0.30704,             0.10814,             0.08127,                   0,           0.0063895,           0.0063895,           0.0063895
                 133,             0.06532,            0.077408,                   0,             0.61064,             0.40466,             0.50944,             0.31126,             0.10666,            0.083057,                   0,           0.0063432,           0.0063432,           0.0063432
                 134,            0.064172,            0.076429,                   0,             0.60343,             0.39336,             0.49653,             0.30535,             0.10872,            0.079492,                   0,           0.0062969,           0.0062969,           0.0062969
                 135,            0.066621,            0.075857,                   0,             0.58451,             0.41263,             0.50163,              0.3066,             0.11018,            0.078244,                   0,           0.0062505,           0.0062505,           0.0062505
                 136,            0.065474,            0.070713,                   0,             0.58352,             0.42434,             0.50929,             0.30872,             0.10763,            0.081885,                   0,            0.006204,            0.006204,            0.006204
                 137,             0.06382,            0.074399,                   0,             0.58277,             0.41571,             0.50136,             0.30322,             0.10856,            0.081889,                   0,           0.0061574,           0.0061574,           0.0061574
                 138,            0.065699,            0.072215,                   0,             0.60932,             0.39685,             0.50495,             0.30971,             0.10989,            0.077268,                   0,           0.0061107,           0.0061107,           0.0061107
                 139,            0.065344,            0.070106,                   0,             0.59749,             0.41497,             0.51233,             0.31363,             0.10783,             0.08138,                   0,            0.006064,            0.006064,            0.006064
                 140,            0.065232,            0.071682,                   0,             0.60204,             0.41863,             0.51204,             0.31278,             0.10921,             0.07949,                   0,           0.0060172,           0.0060172,           0.0060172
                 141,            0.064603,             0.07512,                   0,             0.60871,             0.39698,             0.50547,             0.31058,             0.10868,            0.080282,                   0,           0.0059704,           0.0059704,           0.0059704
                 142,            0.064457,            0.071848,                   0,             0.58766,             0.41838,              0.5064,             0.30964,             0.10789,            0.082061,                   0,           0.0059235,           0.0059235,           0.0059235
                 143,            0.065152,            0.074181,                   0,             0.59826,              0.4174,             0.51087,             0.31187,             0.10733,            0.082487,                   0,           0.0058766,           0.0058766,           0.0058766
                 144,            0.065376,            0.072199,                   0,             0.60152,             0.41045,             0.50621,             0.30903,             0.10932,            0.079689,                   0,           0.0058296,           0.0058296,           0.0058296
                 145,            0.065138,            0.070531,                   0,             0.57177,             0.42068,             0.50112,             0.30558,             0.10915,            0.080056,                   0,           0.0057826,           0.0057826,           0.0057826
                 146,            0.065276,            0.070994,                   0,             0.57561,             0.42265,             0.49982,             0.30275,             0.10985,            0.080497,                   0,           0.0057355,           0.0057355,           0.0057355
                 147,            0.064427,            0.069889,                   0,             0.58601,             0.42171,             0.50873,             0.31088,             0.10816,            0.081869,                   0,           0.0056884,           0.0056884,           0.0056884
                 148,            0.063648,             0.06887,                   0,              0.5865,             0.41551,             0.50292,             0.30641,             0.11042,            0.078031,                   0,           0.0056413,           0.0056413,           0.0056413
                 149,            0.065533,            0.067841,                   0,             0.58204,             0.42064,             0.50762,              0.3098,             0.10827,            0.080728,                   0,           0.0055942,           0.0055942,           0.0055942
                 150,             0.06402,            0.076788,                   0,             0.59843,             0.40281,             0.50206,             0.30531,             0.10981,            0.078207,                   0,           0.0055471,           0.0055471,           0.0055471
                 151,            0.064753,            0.069048,                   0,             0.59247,             0.42003,             0.50958,             0.30994,             0.10839,            0.081228,                   0,              0.0055,              0.0055,              0.0055
                 152,            0.065042,            0.069775,                   0,             0.58922,              0.4192,             0.50623,             0.30795,              0.1108,            0.076503,                   0,           0.0054529,           0.0054529,           0.0054529
                 153,            0.063687,            0.069327,                   0,             0.57601,             0.43616,             0.51113,             0.31198,             0.10804,            0.081728,                   0,           0.0054058,           0.0054058,           0.0054058
                 154,            0.064053,             0.06943,                   0,             0.60147,             0.40429,             0.50645,             0.31071,             0.10957,            0.078484,                   0,           0.0053587,           0.0053587,           0.0053587
                 155,            0.064359,            0.074653,                   0,             0.60331,             0.41604,             0.51211,             0.31378,             0.10739,              0.0817,                   0,           0.0053116,           0.0053116,           0.0053116
                 156,            0.064612,            0.069669,                   0,             0.57896,             0.41666,             0.50216,             0.30674,             0.10795,            0.082214,                   0,           0.0052645,           0.0052645,           0.0052645
                 157,            0.063745,            0.073965,                   0,             0.58699,             0.42722,             0.50861,             0.31023,             0.11006,            0.079495,                   0,           0.0052174,           0.0052174,           0.0052174
                 158,            0.064687,            0.073575,                   0,             0.58361,             0.42787,             0.50865,             0.30992,             0.10815,            0.082292,                   0,           0.0051704,           0.0051704,           0.0051704
                 159,             0.06383,            0.068317,                   0,             0.59575,             0.42023,             0.51078,             0.31141,             0.11062,            0.078793,                   0,           0.0051234,           0.0051234,           0.0051234
                 160,            0.063813,            0.071309,                   0,             0.59153,             0.42475,             0.50919,             0.31141,             0.10829,             0.08257,                   0,           0.0050765,           0.0050765,           0.0050765
                 161,             0.06427,            0.070982,                   0,             0.59682,              0.4114,             0.50744,             0.31006,              0.1093,            0.080411,                   0,           0.0050296,           0.0050296,           0.0050296
                 162,            0.064449,            0.073598,                   0,              0.5841,             0.41974,             0.50472,             0.30867,              0.1093,            0.080052,                   0,           0.0049828,           0.0049828,           0.0049828
